TenPct_AGthighX	TenPct_AGthighY	TenPct_AGthighZ	TwentyFivePct_AGthighX	TwentyFivePct_AGthighY	TwentyFivePct_AGthighZ	FiftyPct_AGthighX	FiftyPct_AGthighY	FiftyPct_AGthighZ	SeventyFivePct_AGthighX	SeventyFivePct_AGthighY	SeventyFivePct_AGthighZ	NinetyPct_AGthighX	NinetyPct_AGthighY	NinetyPct_AGthighZ
0.254	0.7809999999999999	0.105	0.289	0.813	0.133	0.3670000000000001	0.895	0.18	0.504	0.957	0.227	0.547	0.988	0.254
0.418	0.773	0.199	0.453	0.797	0.215	0.484	0.816	0.242	0.504	0.84	0.28600000000000003	0.523	0.863	0.328
0.281	0.773	0.191	0.328	0.797	0.211	0.438	0.84	0.254	0.5	0.902	0.293	0.523	0.941	0.32
0.316	0.7809999999999999	0.188	0.383	0.809	0.215	0.438	0.84	0.246	0.473	0.879	0.285	0.5	0.934	0.316
0.238	0.875	0.13699999999999998	0.289	0.879	0.16	0.359	0.898	0.188	0.395	0.938	0.199	0.398	0.965	0.207
0.34	0.777	0.172	0.395	0.813	0.199	0.418	0.8440000000000001	0.23	0.465	0.879	0.31	0.4920000000000001	0.902	0.43
0.313	0.82	0.188	0.328	0.852	0.203	0.359	0.8909999999999999	0.219	0.426	0.914	0.242	0.469	0.93	0.273
0.426	0.77	0.08560000000000001	0.441	0.805	0.219	0.449	0.836	0.25	0.512	0.8440000000000001	0.262	0.563	0.871	0.281
0.289	0.797	0.1206	0.327	0.8240000000000001	0.172	0.391	0.855	0.23	0.48100000000000004	0.895	0.293	0.523	0.934	0.398
0.215	0.797	0.109	0.281	0.84	0.152	0.383	0.879	0.207	0.441	0.934	0.258	0.496	0.98	0.309
0.207	0.789	0.086	0.313	0.8320000000000001	0.113	0.406	0.887	0.141	0.496	0.945	0.17600000000000002	0.551	0.9964000000000004	0.219
0.473	0.84	0.145	0.473	0.8440000000000001	0.145	0.473	0.8440000000000001	0.145	0.477	0.8440000000000001	0.145	0.48	0.8440000000000001	0.14800000000000002
0.35200000000000004	0.758	0.113	0.402	0.7929999999999999	0.14800000000000002	0.461	0.8320000000000001	0.188	0.52	0.879	0.242	0.5820000000000001	0.934	0.309
0.277	0.805	0.125	0.316	0.8440000000000001	0.16	0.375	0.883	0.203	0.43	0.93	0.242	0.469	0.977	0.285
0.277	0.797	0.16399999999999998	0.313	0.8240000000000001	0.199	0.3965	0.863	0.23	0.453	0.914	0.27	0.504	0.957	0.301
0.277	0.875	0.188	0.301	0.883	0.203	0.344	0.895	0.215	0.3670000000000001	0.926	0.227	0.375	0.945	0.234
0.32	0.773	0.219	0.375	0.7929999999999999	0.242	0.438	0.82	0.277	0.484	0.852	0.387	0.508	0.879	0.469
0.445	0.785	0.2066	0.461	0.8009999999999999	0.223	0.477	0.82	0.246	0.496	0.836	0.266	0.516	0.855	0.289
0.395	0.785	0.199	0.43	0.809	0.219	0.461	0.8320000000000001	0.242	0.48	0.855	0.266	0.5	0.8909999999999999	0.293
0.391	0.777	0.109	0.422	0.809	0.16399999999999998	0.457	0.8440000000000001	0.207	0.488	0.875	0.242	0.516	0.91	0.27
0.438	0.785	0.039	0.473	0.82	0.066	0.508	0.852	0.113	0.539	0.887	0.168	0.5660000000000001	0.918	0.227
0.422	0.77	0.133	0.457	0.8009999999999999	0.16	0.484	0.828	0.191	0.508	0.8590000000000001	0.215	0.531	0.902	0.238
0.398	0.789	0.16399999999999998	0.422	0.816	0.199	0.449	0.8440000000000001	0.227	0.473	0.875	0.258	0.5	0.906	0.281
0.246	0.813	0.129	0.359	0.848	0.152	0.406	0.879	0.188	0.438	0.922	0.219	0.465	0.965	0.25
0.234	0.8590000000000001	0.16760000000000005	0.281	0.863	0.191	0.398	0.871	0.219	0.406	0.938	0.23	0.41	0.969	0.238
0.406	0.867	0.227	0.406	0.867	0.227	0.406	0.867	0.227	0.406	0.867	0.227	0.406	0.867	0.227
0.406	0.754	0.207	0.406	0.789	0.227	0.43	0.852	0.227	0.52	0.867	0.258	0.57	0.867	0.289
0.414	0.758	0.191	0.449	0.785	0.223	0.48	0.816	0.254	0.508	0.848	0.281	0.535	0.879	0.309
0.387	0.77	0.191	0.422	0.797	0.215	0.461	0.828	0.242	0.488	0.863	0.27	0.512	0.895	0.305
0.363	0.805	0.156	0.391	0.836	0.184	0.422	0.863	0.211	0.457	0.8909999999999999	0.242	0.488	0.918	0.266
0.324	0.8009999999999999	0.055	0.3670000000000001	0.8320000000000001	0.168	0.418	0.863	0.207	0.477	0.898	0.234	0.5429999999999999	0.93	0.258
0.35200000000000004	0.7809999999999999	0.14800000000000002	0.391	0.8009999999999999	0.195	0.473	0.8320000000000001	0.227	0.504	0.887	0.258	0.527	0.918	0.293
0.293	0.797	0.227	0.344	0.8320000000000001	0.246	0.418	0.8440000000000001	0.266	0.441	0.8909999999999999	0.277	0.484	0.926	0.293
0.313	0.738	0.199	0.34	0.789	0.23	0.379	0.848	0.305	0.43	0.887	0.402	0.4920000000000001	0.922	0.473
0.387	0.77	0.227	0.406	0.8009999999999999	0.242	0.43	0.84	0.262	0.484	0.8590000000000001	0.293	0.527	0.875	0.313
0.336	0.773	0.211	0.387	0.805	0.23	0.43	0.84	0.254	0.477	0.872	0.289	0.523	0.902	0.316
