Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
HOA16,-0.20040344902924234,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
HOA6,-0.0012037649416724028,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA41,0.04773056584452974,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
KOA42,0.10832813867872092,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
OA68,-0.15401915890065915,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA2,0.39095720934664147,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
OA77,0.028051695353926067,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA67,-0.25330085060046015,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
HOA39,-0.03188315500263209,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA37,0.24684944315134613,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
HOA44,0.004309623810565787,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA35,-0.21117161738205364,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA81,0.295077331780543,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
KOA28,-0.05056185849056924,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA30,0.022794405397909,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA69,0.19676945050364728,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA61,-0.0401910164999129,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA18,0.1146797899157435,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA59,-0.1377765175626578,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
KOA7,,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
