Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
KOA18,0.29817443900588714,nan,"[1.0, 0.0]","[(1.0, 1.0), (0.0, 0.0)]","[0.0, 1.0]","[(0.0, 0.0), (1.0, 1.0)]"
KOA12,-0.06871774049027579,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA53,0.010597727780435596,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA73,-0.009033738315997505,-0.012401586747775906,"[0.99077, 0.00144, 0.0]","[(0.98902, 0.99252), (-0.00138, 0.00425), (0.0, 0.0)]","[0.00413, 0.99062, 1.0]","[(-0.00053, 0.0088), (0.98886, 0.99238), (1.0, 1.0)]"
HOA16,-0.20040344902924226,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
HOA6,-0.001203764941672493,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA41,0.047730565844530205,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
KOA42,0.1083281386787265,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
OA68,-0.15401915890065987,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA2,0.39095720934663847,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
