Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA46,-0.08299393819692275,-0.216053064802636,"[0.25552, 0.42429, 0.0]","[(0.25229, 0.25874), (0.4138, 0.43477), (0.0, 0.0)]","[0.4303, 0.25542, 1.0]","[(0.41988, 0.44072), (0.25219, 0.25864), (1.0, 1.0)]"
OA55,0.03436707262840184,-0.1332092143024612,"[0.4737, 0.30763, 0.00052]","[(0.46803, 0.47937), (0.29624, 0.31903), (-0.0005, 0.00153)]","[0.35386, 0.4751, 0.99994]","[(0.34353, 0.36419), (0.4696, 0.48059), (0.99987, 1.00002)]"
KOA71,-0.1044777180149058,-0.139633497557853,"[0.40472, 0.34838, 0.0]","[(0.40101, 0.40844), (0.33663, 0.36013), (0.0, 0.0)]","[0.35073, 0.40495, 1.0]","[(0.33907, 0.36239), (0.40124, 0.40866), (1.0, 1.0)]"
KOA75,-0.05975250132566076,-0.07557275600877372,"[0.21766, 0.56742, 0.0]","[(0.21456, 0.22076), (0.54315, 0.59168), (0.0, 0.0)]","[0.57532, 0.21763, 1.0]","[(0.55149, 0.59915), (0.21453, 0.22072), (1.0, 1.0)]"
KOA49,0.04486696961743014,0.06800510086080959,"[0.68917, 0.32933, 0.0003]","[(0.68549, 0.69285), (0.32073, 0.33792), (-0.00029, 0.00089)]","[0.38153, 0.67626, 0.99993]","[(0.3737, 0.38936), (0.67264, 0.67988), (0.99987, 0.99999)]"
OA71,-0.07233011507909917,-0.11429126631708414,"[0.30547, 0.46952, 0.0]","[(0.29972, 0.31123), (0.44461, 0.49443), (0.0, 0.0)]","[0.46861, 0.30556, 1.0]","[(0.44373, 0.49349), (0.29981, 0.31131), (1.0, 1.0)]"
KOA22,0.03165535553754285,0.02983994783599492,"[0.29523, 0.85278, 0.0]","[(0.29217, 0.29829), (0.8269, 0.87866), (0.0, 0.0)]","[0.85053, 0.29519, 1.0]","[(0.82511, 0.87595), (0.29213, 0.29825), (1.0, 1.0)]"
HOA42,-0.05738056557626857,-0.16116018440172178,"[0.31419, 0.42965, 0.02124]","[(0.31036, 0.31801), (0.41773, 0.44157), (0.01316, 0.02932)]","[0.4461, 0.31881, 0.9991]","[(0.4351, 0.4571), (0.31501, 0.32261), (0.99886, 0.99933)]"
KOA3,-0.08320238288423171,-0.09778591939377794,"[0.47812, 0.29696, 0.0]","[(0.47443, 0.48181), (0.2822, 0.31171), (0.0, 0.0)]","[0.29773, 0.47816, 1.0]","[(0.28302, 0.31245), (0.47447, 0.48185), (1.0, 1.0)]"
KOA73,0.08295809147374189,-0.009984711710133765,"[0.4058, 0.50921, 0.00134]","[(0.40224, 0.40936), (0.4896, 0.52883), (-0.00128, 0.00396)]","[0.56768, 0.40412, 0.99999]","[(0.55063, 0.58473), (0.40059, 0.40766), (0.99996, 1.00001)]"
