Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
KOA12,0.03734469446473676,0.057754732033872755,"[0.1743, 0.19215, 0.67347]","[(0.167, 0.18161), (0.17628, 0.20801), (0.54217, 0.80477)]","[0.90112, 0.82719, 0.33647]","[(0.88922, 0.91302), (0.81993, 0.83445), (0.32827, 0.34468)]"
HOA2,0.06762474600082458,0.0488621079467188,"[0.10456, 0.05, 0.72727]","[(0.09917, 0.10995), (0.03284, 0.06716), (0.46408, 0.99046)]","[0.92868, 0.88359, 0.21615]","[(0.9086, 0.94876), (0.87795, 0.88924), (0.20907, 0.22322)]"
OA3,0.10343583910620859,0.18530131817960618,"[0.18199, 0.06816, 0.91935]","[(0.17445, 0.18952), (0.0587, 0.07761), (0.88022, 0.95849)]","[0.96569, 0.89745, 0.24654]","[(0.95909, 0.9723), (0.89157, 0.90332), (0.23908, 0.25401)]"
KOA42,0.25403910469617264,0.05512623801990794,"[0.03173, 0.01549, 0.96104]","[(0.02862, 0.03484), (0.01008, 0.0209), (0.91782, 1.00426)]","[0.99182, 0.97393, 0.05296]","[(0.98795, 0.99569), (0.97111, 0.97675), (0.04928, 0.05665)]"
KOA16,0.05655823222544086,0.140830855737365,"[0.15673, 0.0487, 0.85102]","[(0.15043, 0.16303), (0.03866, 0.05874), (0.81949, 0.88255)]","[0.94858, 0.87456, 0.26104]","[(0.93947, 0.9577), (0.86893, 0.88019), (0.2539, 0.26817)]"
KOA60,0.04693501538981174,0.07560643912269999,"[0.26761, 0.20376, 0.61111]","[(0.25963, 0.27559), (0.18399, 0.22353), (0.3859, 0.83632)]","[0.82145, 0.77705, 0.47772]","[(0.80276, 0.84014), (0.76955, 0.78454), (0.46926, 0.48617)]"
KOA14,0.2734703091325987,0.2542145572049693,"[0.44888, 0.01064, 1.0]","[(0.43847, 0.4593), (0.00465, 0.01663), (1.0, 1.0)]","[0.91851, 0.95402, 0.44895]","[(0.90255, 0.93447), (0.94964, 0.95841), (0.43915, 0.45875)]"
OA80,0.2371385371646002,0.19666581882789896,"[0.30895, 0.02516, 0.76056]","[(0.2939, 0.32399), (0.00082, 0.0495), (0.6613, 0.85983)]","[0.87391, 0.66558, 0.62682]","[(0.83101, 0.91681), (0.65037, 0.6808), (0.6114, 0.64223)]"
OA88,0.23104225683855933,0.1742516942694065,"[0.22761, 0.03634, 0.88462]","[(0.21816, 0.23705), (0.02746, 0.04522), (0.85179, 0.91744)]","[0.90048, 0.89854, 0.2969]","[(0.88759, 0.91338), (0.89189, 0.90518), (0.2876, 0.30619)]"
KOA69,0.09742078171815784,0.048855419838435304,"[0.20762, 0.14912, 0.0]","[(0.19985, 0.21538), (0.10289, 0.19536), (0.0, 0.0)]","[0.86266, 0.7401, 0.46338]","[(0.81846, 0.90686), (0.7317, 0.7485), (0.45393, 0.47282)]"
OA54,0.1819553149896157,0.0773019600004309,"[0.14253, 0.08214, nan]","[(0.13567, 0.14939), (0.04998, 0.11431), (nan, nan)]","[0.95, 0.77815, 0.35805]","[(0.92447, 0.97553), (0.76999, 0.7863), (0.34877, 0.36732)]"
OA77,0.11464470158246384,0.06439297264747622,"[0.12355, 0.05066, 1.0]","[(0.11598, 0.13112), (0.03573, 0.06559), (1.0, 1.0)]","[0.96755, 0.97109, 0.14538]","[(0.95551, 0.97959), (0.96723, 0.97494), (0.1377, 0.15306)]"
OA59,0.08746444030003715,0.07085870665179914,"[0.23589, 0.1309, 0.72]","[(0.2283, 0.24347), (0.10028, 0.16153), (0.54399, 0.89601)]","[0.89817, 0.83339, 0.39614]","[(0.87142, 0.92492), (0.82674, 0.84004), (0.38757, 0.40472)]"
OA61,0.31672258393032116,0.2815189877702392,"[0.34492, 0.03079, 0.87108]","[(0.33366, 0.35618), (0.0227, 0.03887), (0.83231, 0.90985)]","[0.90838, 0.89358, 0.38656]","[(0.89586, 0.92089), (0.88642, 0.90074), (0.37626, 0.39685)]"
OA9,0.08259392461777071,0.08429465863366022,"[0.13349, 0.08209, 0.96875]","[(0.12654, 0.14045), (0.0666, 0.09758), (0.90846, 1.02904)]","[0.94103, 0.88824, 0.23359]","[(0.92791, 0.95416), (0.88181, 0.89467), (0.22545, 0.24173)]"
HOA14,0.32721850709435196,0.2909811866700489,"[0.47598, 0.01142, 0.95082]","[(0.46655, 0.48542), (0.00471, 0.01813), (0.92655, 0.97509)]","[0.91483, 0.88065, 0.55842]","[(0.89946, 0.93019), (0.87461, 0.88669), (0.54943, 0.56741)]"
